abruptly ; plötzlich / abrupt
elaborate ; aufwendig / kunstvoll
eligible ; berechtigt / geeignet
embarrassed ; verlegen / beschämt
eminent ; hervorragend / bedeutend
encouraging ; ermutigend
endless ; endlos
enduring ; dauerhaft / beständig
enormous ; riesig / enorm
entirely ; völlig / gänzlich
envious ; neidisch
essential ; wesentlich / unerlässlich
eternal ; ewig
ethical ; ethisch / moralisch
eventually ; schließlich / irgendwann
evident ; offensichtlich
exceptional ; außergewöhnlich
excessive ; übermäßig
exclusive ; exklusiv / ausschließlich
exhausted ; erschöpft
exotic ; exotisch
explicit ; ausdrücklich / explizit
extensive ; umfangreich / ausgedehnt
external ; äußerlich / extern
extraordinary ; außergewöhnlich
extreme ; extrem
faint ; schwach / matt
faithful ; treu
familiar ; vertraut / bekannt
fascinating ; faszinierend
fatal ; tödlich / verhängnisvoll
favorable ; günstig / vorteilhaft
feasible ; machbar / durchführbar
fierce ; heftig / erbittert
filthy ; dreckig / versifft
financial ; finanziell
flexible ; flexibel / biegsam
fluent ; fließend
fond ; liebevoll / zugetan
foolish ; töricht / albern
formally ; förmlich / offiziell
formerly ; früher / ehemals
fortunate ; glücklich / begünstigt
fragile ; zerbrechlich
frankly ; offen gesagt / ehrlich
frantic ; außer sich / verzweifelt
frequent ; häufig
fundamental ; grundlegend
furious ; wütend / aufgebracht
generous ; großzügig
genuine ; echt / aufrichtig
gigantic ; gigantisch / riesig
gloomy ; düster / bedrückt
glorious ; herrlich / glorreich
gradually ; allmählich / schrittweise
grateful ; dankbar
grave ; ernst / gravierend
greedy ; gierig
grim ; düster / grimmig
grotesque ; grotesk / bizarr
guilty ; schuldig
habitual ; gewohnheitsmäßig
hardly ; kaum
harmful ; schädlich
harsh ; harsch / rau / streng
hasty ; hastig / eilig
hazardous ; gefährlich / riskant
heavily ; schwer / stark (Adv.)
helpful ; hilfreich
helpless ; hilflos
hence ; daher / folglich
hesitant ; zögerlich
highly ; höchst / hochgradig
hilarious ; sehr lustig / urkomisch
historical ; historisch / geschichtlich
hollow ; hohl
honest ; ehrlich
hopeless ; hoffnungslos
horrible ; schrecklich / grauenhaft
hostile ; feindselig
huge ; riesig
humble ; bescheiden / demütig
humorous ; humorvoll
identical ; identisch
idle ; untätig / faul
ignorant ; unwissend / ignorant
illegal ; illegal / gesetzwidrig
immense ; immens / gewaltig
imminent ; unmittelbar bevorstehend
impartial ; unparteiisch
impatient ; ungeduldig
impeccable ; tadellos / einwandfrei
imperative ; zwingend notwendig
implicit ; stillschweigend / implizit
impossible ; unmöglich
impressive ; beeindruckend
improbable ; unwahrscheinlich
inappropriate ; unangemessen
incapable ; unfähig
incessant ; unaufhörlich / stetig
incidental ; beiläufig / nebensächlich
inclined ; geneigt / tendierend
increasingly ; zunehmend
incredible ; unglaublich
independent ; unabhängig
indifferent ; gleichgültig
indigenous ; einheimisch / indigen
indispensable ; unverzichtbar
individual ; individuell / einzeln
inevitable ; unvermeidlich
infamous ; berüchtigt
inferior ; minderwertig / unterlegen
infinite ; unendlich
influential ; einflussreich
influential ; einflussreich
ingenious ; genial / einfallsreich
inherent ; innewohnend / eigen
initially ; anfangs / zunächst
innocent ; unschuldig
insane ; wahnsinnig / verrückt
insecure ; unsicher
insensitive ; unsensibel / unempfindlich
inseparable ; untrennbar
insignificant ; unbedeutend
insistent ; beharrlich
instantly ; sofort / augenblicklich
instinctive ; instinktiv
insufficient ; unzureichend
intact ; intakt / unversehrt
integral ; wesentlich / integral
intellectual ; intellektuell
intense ; intensiv / heftig
intentional ; absichtlich
internal ; intern / innerlich
intimate ; vertraut / intim
intricate ; kompliziert / verschachtelt
intriguing ; faszinierend / fesselnd
invaluable ; unbezahlbar (wertvoll)
invariable ; unveränderlich
invisible ; unsichtbar
involuntary ; unfreiwillig
ironic ; ironisch
irrational ; unvernünftig / irrational
irrelevant ; belanglos / irrelevant
irresistible ; unwiderstehlich
irreversible ; unumkehrbar
jealous ; eifersüchtig
joint ; gemeinsam
joyful ; freudig
judicial ; gerichtlich
justifiable ; vertretbar / rechtfertigbar
keen ; leidenschaftlich / scharfsinnig
knowledgeable ; sachkundig
laborious ; mühsam
latter ; letztere(r/s)
lavish ; verschwenderisch / üppig
lawful ; rechtmäßig
legitimate ; rechtmäßig / legitim
lethal ; tödlich
liable ; haftbar / verantwortlich
liberal ; liberal / großzügig
lifelong ; lebenslang
likely ; wahrscheinlich
limited ; begrenzt
linear ; linear / geradlinig
literal ; wörtlich
literary ; literarisch
lively ; lebhaft
local ; örtlich / lokal
logical ; logisch
loose ; locker / lose
loyal ; loyal / treu
lucrative ; lukrativ / gewinnbringend
ludicrous ; lächerlich / albern
magnificent ; prachtvoll
mainly ; hauptsächlich
major ; bedeutend / groß
malicious ; bösartig / hämisch
mandatory ; verpflichtend
marginal ; geringfügig / am Rande
massive ; massiv / wuchtig
mature ; reif
maximum ; maximal
meaningful ; sinnvoll / bedeutsam
meanwhile ; mittlerweile / unterdessen
mechanical ; mechanisch
mediocre ; mittelmäßig
memorable ; unvergesslich / denkwürdig
mental ; geistig / psychisch
mere ; bloß / rein
merely ; lediglich / nur
messy ; unordentlich / chaotisch
meticulous ; akribisch / penibel
mild ; mild / sanft
minimal ; minimal
minor ; geringfügig / unbedeutend
miserable ; elend / jämmerlich
misleading ; irreführend
moderate ; mäßig / moderat
modest ; bescheiden
momentary ; augenblicklich / flüchtig
monotonous ; eintönig
moral ; moralisch
mortal ; sterblich
motionless ; regungslos
multiple ; mehrere / vielfach
mundane ; alltäglich / profan
municipal ; städtisch / kommunal
mutual ; gegenseitig
mysterious ; geheimnisvoll
naive ; naiv / blauäugig
narrow ; eng / schmal
nasty ; fies / widerlich
native ; einheimisch
natural ; natürlich
naughty ; ungezogen / frech
nearby ; nahegelegen
necessarily ; zwangsläufig / notwendigerweise
negative ; negativ
negligible ; vernachlässigbar
nervous ; nervös
neutral ; neutral
nevertheless ; nichtsdestotrotz / dennoch
noble ; edel / adelig
noisy ; laut
nominal ; nominell / namentlich
notable ; bemerkenswert
noteworthy ; erwähnenswert
notorious ; berüchtigt (negativ)
novel ; neuartig
numerous ; zahlreich
objective ; objektiv / sachlich
obligatory ; obligatorisch / verpflichtend
obscure ; unklar / dunkel / obskur
obsolete ; veraltet / überholt
obstinate ; hartnäckig / starrköpfig
obvious ; offensichtlich / klar
occasional ; gelegentlich
occasionally ; gelegentlich (Adv.)
odd ; seltsam / merkwürdig
offensive ; beleidigend / anstößig
official ; offiziell / amtlich
ominous ; unheilvoll / ominös
ongoing ; andauernd / laufend
opportune ; günstig / passend
optional ; optional / freiwillig
ordinary ; gewöhnlich / normal
organic ; organisch
original ; ursprünglich / originell
otherwise ; andernfalls / sonst
outstanding ; herausragend / hervorragend
overall ; gesamt / alles in allem
overdue ; überfällig
overwhelming ; überwältigend
painful ; schmerzhaft
parallel ; parallel
partial ; teilweise / parteiisch
particularly ; besonders / insbesondere
passive ; passiv
patient ; geduldig
peculiar ; eigenartig / sonderbar
permanent ; dauerhaft / permanent
perpetually ; unaufhörlich / ständig
persistent ; hartnäckig / beharrlich
personal ; persönlich
persuasive ; überzeugend
pertinent ; relevant / sachdienlich
pessimistic ; pessimistisch
petty ; belanglos / kleinlich
physical ; physisch / körperlich
plain ; schlicht / einfach / klar
plausible ; plausibel / glaubhaft
pleasant ; angenehm
political ; politisch
poor ; arm / schlecht
popular ; populär / beliebt
positive ; positiv
potentially ; potenziell / möglicherweise
powerful ; mächtig / kraftvoll
practical ; praktisch
preceding ; vorhergehend
precise ; präzise / exakt
predictable ; vorhersehbar
predominantly ; überwiegend / vorherrschend
preliminary ; vorläufig / vorbereitend
premature ; vorzeitig / verfrüht
principal ; hauptsächlich / wesentlich
prior ; vorherig / früher
private ; privat / persönlich
probable ; wahrscheinlich
proficient ; kompetent / versiert
profound ; tiefgründig / tief
prominent ; herausragend / prominent
promptly ; unverzüglich / prompt
proper ; richtig / angemessen
proportional ; proportional / verhältnismäßig
protective ; schützend
proudly ; stolz
provisional ; provisorisch / vorläufig
publicly ; öffentlich
punctual ; pünktlich
purely ; rein / bloß (Adv.)
purposeful ; zielstrebig
puzzling ; rätselhaft / verwirrend
qualified ; qualifiziert / befähigt
qualitative ; qualitativ
quantitative ; quantitativ
questionable ; fragwürdig / zweifelhaft
rapidly ; schnell / rasch
rarely ; selten
rational ; rational / vernünftig
readily ; bereitwillig / leicht
reasonable ; vernünftig / angemessen
recently ; kürzlich / neulich
reciprocal ; gegenseitig / wechselseitig
reckless ; rücksichtslos / leichtsinnig
recognizable ; erkennbar / wiederzuerkennen
regardless ; ungeachtet / trotzdem
reluctant ; widerwillig / zögerlich
remarkable ; bemerkenswert
remotely ; entfernt / vage
repetitive ; sich wiederholend
reputable ; angesehen / seriös
resistant ; widerstandsfähig
resourceful ; erfinderisch / einfallsreich
respectable ; respektabel / anständig
responsible ; verantwortlich
restless ; rastlos / unruhig
restrictive ; einschränkend
rewarding ; lohnend / bereichernd
ridiculous ; lächerlich
rigid ; starr / streng / unbiegsam
rigorously ; rigoros / streng
robust ; robust / kräftig
sacred ; heilig / geweiht
sadly ; traurigerweise
savage ; wild / grausam
scarcely ; kaum / schwerlich (Adv.)
scarce ; knapp / rar
skeptical ; skeptisch / zweifelnd
scholarly ; gelehrt / wissenschaftlich
secondary ; sekundär / zweitrangig
secretive ; verschwiegen / geheimniskrämerisch
seemingly ; anscheinend / scheinbar (Adv.)
seldom ; selten (Adv.)
sensible ; vernünftig / sinnvoll
sensitive ; sensibel / empfindlich
severe ; streng / schwerwiegend
shallow ; seicht / oberflächlich
significant ; bedeutend / signifikant
simultaneously ; gleichzeitig (Adv.)
sincere ; aufrichtig / ehrlich
skillful ; geschickt / versiert
slight ; geringfügig / leicht
solemn ; feierlich / ernst
solid ; solide / fest
solitary ; einsam / einzeln
sophisticated ; anspruchsvoll / raffiniert
spectacular ; spektakulär
spontaneous ; spontan
staggering ; staffelnd / erschreckend / verblüffend
strategic ; strategisch
striking ; auffallend / eindrucksvoll
structural ; strukturell
stunning ; umwerfend / atemberaubend
subtle ; subtil / fein / unaufdringlich
subjective ; subjektiv
subsequent ; nachfolgend
substantial ; wesentlich / beträchtlich
sufficient ; hinreichend / genügend
superb ; hervorragend / großartig
superficial ; oberflächlich
superior ; überlegen / höherwertig
supportive ; unterstützend
suspicious ; verdächtig / misstrauisch
sustainable ; nachhaltig
swift ; schnell / flink
sympathetic ; mitfühlend / verständnisvoll
systematically ; systematisch (Adv.)
tedious ; langweilig / mühsam
temporary ; vorübergehend
tentative ; versuchsweise / zögerlich
theoretical ; theoretisch
thoroughly ; gründlich / sorgfältig (Adv.)
thoughtfully ; nachdenklich / rücksichtsvoll (Adv.)
timely ; rechtzeitig / zeitgemäß
tough ; zäh / hart
toxic ; giftig / toxisch
tragic ; tragisch
transient ; vergänglich / vorübergehend
transparent ; transparent / durchsichtig
tremendous ; enorm / gewaltig
trivial ; trivial / belanglos
truly ; wirklich / wahrhaftig (Adv.)
trustworthy ; vertrauenswürdig
typical ; typisch
ultimately ; letztendlich / schließlich (Adv.)
unable ; unfähig
unanimous ; einstimmig
undoubtedly ; zweifellos / unbestreitbar (Adv.)
underlying ; zugrunde liegend
unfortunate ; unglücklich / bedauerlich
uniform ; gleichmäßig / uniform
unilateral ; einseitig
unique ; einzigartig
universal ; universell
unlikely ; unwahrscheinlich
unnecessary ; unnötig
urgent ; dringend
utterly ; völlig / absolut (Adv.)
vaguely ; vage / unbestimmt (Adv.)
valid ; gültig / stichhaltig
valuable ; wertvoll
various ; verschieden / unterschiedlich
vast ; riesig / gewaltig
vehemently ; vehement / leidenschaftlich (Adv.)
versatile ; vielseitig
vicious ; bösartig / teuflisch
vigorous ; energisch / kräftig
virtual ; virtuell
virtually ; praktisch / quasi (Adv.)
vital ; lebenswichtig / entscheidend
vivid ; lebhaft / anschaulich
volatile ; flüchtig / unbeständig
vulnerable ; verletzlich / anfällig
wary ; vorsichtig / misstrauisch
wasteful ; verschwenderisch
wealthy ; wohlhabend
widespread ; weit verbreitet
willingly ; bereitwillig / gerne (Adv.)
wisely ; klugerweise (Adv.)
witty ; witzig / geistreich
zealous ; eifrig / übereifrig
yearly ; jährlich
English Verb;German Translation
to acknowledge;anerkennen / bestÃ¤tigen
to acquire;erwerben / sich aneignen
to anticipate;voraussehen / erwarten
to assess;beurteilen / einschÃ¤tzen
to assume;annehmen / vermuten
to comprehend;begreifen / erfassen
to conclude;schlussfolgern
to consider;in Betracht ziehen
to contemplate;erwÃ¤gen / nachdenken Ã¼ber
to deduce;ableiten / folgern
to determine;bestimmen / ermitteln
to distinguish;unterscheiden
to evaluate;bewerten / auswerten
to perceive;wahrnehmen
to recall;sich entsinnen / erinnern
to reflect;reflektieren / nachdenken
to speculate;spekulieren / mutmaÃŸen
to verify;überprüfen / verifizieren
to advocate;befürworten / plädieren für
to articulate;artikulieren / ausdrücken
to assert;behaupten / geltend machen
to clarify;klären / klarstellen
to contradict;widersprechen
to convey;vermitteln / Ã¼bermitteln
to convince;überzeugen
to deny;leugnen / bestreiten
to elaborate;ausführen / näher erläutern
to emphasize;betonen / hervorheben
to exaggerate;übertreiben
to imply;andeuten / implizieren
to indicate;hinweisen auf / anzeigen
to justify;rechtfertigen
to negotiate;verhandeln
to persuade;überreden
to propose;vorschlagen / angeregen
to refuse;verweigern / ablehnen
to urge;drängen / mahnen
to accelerate;beschleunigen
to adapt;anpassen
to alter;abändern / verändern
to cease;enden / aufhören
to convert;umwandeln / konvertieren
to decline;abnehmen / zurückgehen
to diminish;verringern / schwinden
to eliminate;beseitigen / eliminieren
to emerge;auftauchen / entstehen
to enhance;verbessern / steigern
to evolve;sich entwickeln
to expand;erweitern / ausdehnen
to fluctuate;schwanken
to generate;erzeugen / generieren
to modify;modifizieren / abwandeln
to postpone;verschieben / vertagen
to proceed;fortfahren / vorgehen
to reinforce;verstärken / bekräftigen
to restrict;einschränken / beschränken
to transform;verwandeln / umgestalten
to accomplish;vollbringen / erreichen
to administer;verwalten
to appoint;ernennen / berufen
to collaborate;zusammenarbeiten
to conduct;durchführen / leiten
to coordinate;koordinieren / abstimmen
to delegate;delegieren / übertragen
to distribute;verteilen / vertreiben
to ensure;sicherstellen / gewährleisten
to establish;etablieren / gründen
to facilitate;erleichtern / ermöglichen
to implement;umsetzen / implementieren
to investigate;untersuchen / ermitteln
to monitor;überwachen / kontrollieren
to obtain;erhalten / beziehen
to participate;teilnehmen / mitwirken
to prioritize;priorisieren / vorziehen
to resolve;lösen / klären
to supervise;beaufsichtigen / betreuen
to utilize;nutzen / verwenden
to appreciate;schützen / würdigen
to bother;stören / sich Mühe geben
to compensate;ausgleichen / entschÃ¤digen
to compromise;Kompromisse schließen
to cope;bewältigen / zurechtkommen
to criticize;kritisieren / bemängeln
to deceive;täuschen / betrügen
to encourage;ermutigen / fördern
to envy;beneiden
to hesitate;zögern
to ignore;ignorieren / missachten
to impose;auferlegen / aufzwingen
to interfere;sich einmischen
to neglect;vernachlÃ¤ssigen
to offend;beleidigen
to provoke;provizieren / herausfordern
to regret;bedauern / bereuen
to rely;sich verlassen auf
to tolerate;dulden / tolerieren
to volunteer;sich freiwillig melden
to analyze;analysieren
to cite;zitieren
to compile;zusammenstellen
to define;definieren / bestimmen
to demonstrate;demonstrieren / aufzeigen
to derive;ableiten
to devise;entwerfen / sich ausdenken
to examine;untersuchen / prüfen
to experiment;experimentieren
to explore;erforschen / erkunden
to formulate;formulieren
to hypothesize;eine Hypothese aufstellen
to illustrate;veranschaulichen / bebildern
to interpret;interpretieren / deuten
to observe;beobachten
to prove;beweisen / belegen
to publish;veröffentlichen / publizieren
to review;rezensieren / überprüfen
to summarize;zusammenfassen
to validate;validieren / bestätigen
to abolish;abschaffen
to accuse;anklagen / beschuldigen
to authorize;autorisieren / ermächtigen
to ban;verbieten / sperren
to comply;befolgen / einhalten
to confiscate;beschlagnahmen
to debate;debattieren
to decree;verordnen
to elect;wählen
to enact;erlassen / gesetzlich verordnen
to enforce;durchsetzen
to govern;regieren
to grant;gewähren / bewilligen
to legislate;Gesetze erlassen
to prohibit;untersagen
to regulate;regulieren / regeln
to resign;kündigen / zurücktreten
to revoke;widerrufen / entziehen
to sentence;verurteilen
to violate;verletzen / verstoßen gegen
to accumulate;anhäufen / ansammeln
to afford;sich leisten
to allocate;zuweisen / zuteilen
to audit;prüfen (Finanzen)
to calculate;berechnen / kalkulieren
to consume;konsumieren / verbrauchen
to contribute;beitragen / spenden
to deposit;einzahlen / deponieren
to finance;finanzieren
to invest;investieren / anlegen
to owe;schulden
to profit;profitieren / gewinnen
to purchase;erwerben / kaufen
to refund;erstatten / zurückzahlen
to subsidize;subventionieren
to transact;Geschäfte tätigen
to value;wertschätzen / bewerten
to withdraw;abheben / zurückziehen
to yield;einbringen / abwerfen
to bankrupt;in den Bankrott treiben
to abandon;verlassen / aufgeben
to annihilate;vernichten / auslöschen
to betray;verraten
to collapse;einstürzen / kollabieren
to confront;konfrontieren
to damage;beschädigen
to deteriorate;sich verschlechtern
to disrupt;stören / unterbrechen
to endanger;gefährden
to escalate;eskalieren
to exploit;ausnutzen / ausbeuten
to harm;schaden
to hinder;behindern / hemmen
to invade;einmarschieren / eindringen
to manipulate;manipulieren
to oppose;opponieren / sich widersetzen
to ruin;ruinieren / verunstalten
to threaten;bedrohen
to undermine;untergraben
to warn;warnen
to appear;erscheinen / wirken
to attempt;versuchen
to attribute;zuschreiben
to belong;gehören
to comprise;umfassen / beinhalten
to constitute;darstellen / bilden
to depend;abhängen von
to deserve;verdienen
to exist;existieren / bestehen
to lack;fehlen / mangeln an
to matter;von Bedeutung sein
to necessitate;erfordern / notwendig machen
to occur;geschehen / auftreten
to originate;stammen aus / herrühren
to possess;besitzen
to prevail;vorherrschen / siegen
to remain;verbleiben / bleiben
to resemble;ähneln / gleichen
to seem;scheinen
to tend;tendieren / neigen zu
to assemble;montieren / zusammenbauen
to construct;konstruieren / errichten
to detach;ablösen / abtrennen
to discard;entsorgen / verwerfen
to dismantle;demontieren / zerlegen
to equip;ausstatten / ausrüsten
to extract;extrahieren / entnehmen
to fabricate;fertigen / herstellen
to fasten;befestigen
to handle;handhaben / umgehen mit
to insert;einfügen / einsetzen
to install;installieren / einrichten
to load;laden / belasten
to maintain;instand halten / warten
to manufacture;herstellen
to preserve;bewahren / konservieren
to repair;instand setzen / reparieren
to restore;wiederherstellen / restaurieren
to shape;formen / gestalten
to sustain;aufrechterhalten
to automate;automatisieren
to browse;durchstöbern / surfen
to compute;berechnen
to configure;konfigurieren
to connect;verbinden
to detect;erkennen / aufspüren
to digitize;digitalisieren
to display;anzeigen / darstellen
to download;herunterladen
to encode;verschlüsseln / codieren
to input;eingeben
to launch;starten / einführen
to navigate;navigieren / steuern
to process;verarbeiten
to program;programmieren
to retrieve;abrufen / wiedererlangen
to scan;scannen / überfliegen
to stream;streamen
to synchronize;synchronisieren
to update;aktualisieren
to arrange;anordnen / vereinbaren
to categorize;kategorisieren
to classify;klassifizieren
to compose;verfassen / komponieren
to contain;enthalten / beinhalten
to design;entwerfen / gestalten
to divide;teilen / unterteilen
to file;ablegen / einreichen
to group;gruppieren
to include;einbeziehen / einschließen
to incorporate;integrieren / einarbeiten
to integrate;eingliedern / integrieren
to list;auflisten
to merge;fusionieren / verschmelzen
to organize;organisieren
to outline;skizzieren / umreißen
to plan;planen
to schedule;terminieren / ansetzen
to sort;sortieren
to structure;strukturieren
to advance;vorrücken / fortschreiten
to approach;sich nÃ¤hern / herantreten an
to commute;pendeln
to depart;abreisen / abfahren
to descend;herabsteigen / sinken
to drift;treiben / abdriften
to escape;entkommen / flüchten
to flee;fliehen
to flow;fließen / strömen
to glide;gleiten
to land;landen
to migrate;migrieren / wandern
to rotate;rotieren / sich drehen
to shift;verlagern / verschieben
to slide;rutschen / gleiten
to transfer;übertragen / versetzen
to transport;transportieren / befördern
to traverse;durchqueren
to vanish;verschwinden
to wander;umherwandern
to absorb;absorbieren / aufnehmen
to adhere;haften / kleben
to adjust;anpassen / einstellen
to attract;anziehen
to capture;einfangen / erbeuten
to digest;verdauen
to emit;ausstoßen / abgeben
to endure;ertragen / aushalten
to exhaust;erschöpfen
to freeze;einfrieren
to gaze;blicken / schauen
to glance;flüchtig blicken
to grip;greifen / packen
to inspect;inspizieren
to react;reagieren
to release;freilassen / loslassen
to reveal;enthüllen / offenbaren
to sense;spüren / erahnen
to stare;anstarren
to tremble;zittern / beben
to bloom;blühen
to breed;züchten / brüten
to cultivate;anbauen / kultivieren
to decay;verfallen / verrotten
to dissolve;auflösen
to erupt;ausbrechen
to evaporate;verdunsten
to fade;verblassen / schwinden
to flood;überfluten / Überschwemmen
to harvest;ernten
to hatch;schlüpfen / ausbrüten
to inhabit;bewohnen
to irrigate;bewÃ¤ssern
to melt;schmelzen
to pollute;verschmutzen
to predict;vorhersagen
to recycle;wiederverwerten / recyceln
to ripen;reifen
to sprout;sprießen / keimen
to wither;verwelken
to ache;schmerzen / wehtun
to bleed;bluten
to bruise;prellen / quetschen
to choke;ersticken / wÃ¼rgen
to cure;heilen
to diagnose;diagnostizieren
to dizzy;schwindelig machen
to faint;in Ohnmacht fallen
to heal;verheilen / heilen
to infect;infizieren / anstecken
to inject;injizieren / spritzen
to injure;verletzen
to operate;operieren
to prescribe;verschreiben
to recover;sich erholen
to shiver;zittern / frösteln
to soothe;lindern / beruhigen
to sprain;verstauchen
to suffer;leiden
to vomit;sich übergeben / erbrechen
to act;schauspielern / handeln
to applaud;applaudieren / klatschen
to broadcast;ausstrahlen / senden
to carve;schnitzen / meißeln
to cast;besetzen (Rolle) / gießen
to compose;komponieren / verfassen
to depict;darstellen / abbilden
to direct;Regie führen / leiten
to display;ausstellen
to draft;entwerfen
to draw;zeichnen
to exhibit;ausstellen
to inspire;inspirieren
to perform;aufführen / leisten
to portray;darstellen / schildern
to rehearse;proben
to sculpt;bildhauern / formen
to sketch;skizzieren
to stage;inszenieren
to tune;stimmen / einstellen
to accommodate;beherbergen / unterbringen
to accompany;begleiten
to attend;teilnehmen / besuchen
to book;buchen / reservieren
to celebrate;feiern / zelebrieren
to dine;speisen
to entertain;unterhalten
to frequent;häufig besuchen
to greet;grüßen / begrüßen
to host;ausrichten / veranstalten
to invite;einladen
to lodge;logieren / wohnen
to occupy;belegen / besetzen
to pack;packen
to rent;mieten
to reside;residieren / wohnen
to settle;sich niederlassen / regeln
to socialize;unter Leute gehen
to tour;bereisen / besichtigen
to visit;besuchen / besichtigen
to complement;ergänzen
to connect;verbinden / anknüpfen
to consist;bestehen aus
to correlate;korrelieren / zusammenhängen
to correspond;entsprechen / korrespondieren
to equal;gleichen / entsprechen
to exclude;ausschließen
to fit;passen
to link;verknüpfen
to match;zusammenpassen
to parallel;ähneln / parallel verlaufen
to relate;beziehen auf / berichten
to replace;ersetzen
to represent;repräsentieren / vertreten
to separate;trennen
to substitute;substituieren / austauschen
to succeed;nachfolgen / gelingen
to suit;stehen / passen
to surpass;übertreffen
to symbolize;symbolisieren
to abduct;entführen
to acquit;freisprechen
to arrest;verhaften / festnehmen
to assassinate;ermorden (Attentat)
to blackmail;erpressen
to bribe;bestechen
to burgle;einbrechen
to commit;begehen / verüben
to convict;verurteilen / überführen
to detain;inhaftieren / festhalten
to embezzle;veruntreuen
to imprison;einsperren / inhaftieren
to interrogate;verhören / ausfragen
to loot;plündern
to patrol;patrouillieren
to persecute;verfolgen
to prosecute;strafrechtlich verfolgen
to smuggle;schmuggeln
to surrender;kapitulieren / sich ergeben
to testify;aussagen / bezeugen
to blend;vermischen / pürieren
to chop;hacken / schneiden
to crush;zerdrücken / zermalmen
to dilute;verdünnen
to drain;abgießen / entwässern
to garnish;garnieren
to grate;reiben / raspeln
to grind;mahlen
to knead;kneten
to marinate;marinieren / einlegen
to peel;schälen
to polish;polieren
to rinse;abspülen / auswaschen
to roast;braten / rösten
to scrub;schrubben / scheuern
to simmer;köcheln
to soak;einweichen
to squeeze;ausdrücken / quetschen
to stir;umrühren
to baptize;taufen
to bless;segnen
to bury;begraben / beerdigen
to commemorate;gedenken
to confess;beichten / gestehen
to convert;konvertieren
to cremate;einäschern
to curse;verfluchen
to devote;widmen
to fast;fasten
to forgive;vergeben / verzeihen
to meditate;meditieren
to mourn;trauern
to pray;beten
to preach;predigen
to repent;bereuen / Buße tun
to resurrect;auferstehen
to sacrifice;opfern
to sin;sündigen
to worship;anbeten / verehren
to admire;bewundern
to amuse;amüsieren / belustigen
to annoy;ärgern / nerven
to astonish;erstaunen
to comfort;trösten
to confuse;verwirren
to delight;erfreuen / entzücken
to depress;deprimieren / niederdrücken
to disappoint;enttäuschen
to disgust;anwidern / ekeln
to embarrass;blamieren / in Verlegenheit bringen
to fascinate;faszinieren
to frighten;ängstigen / erschrecken
to impress;beeindrucken
to irritate;irritieren / reizen
to pity;bemitleiden
to satisfy;befriedigen / zufriedenstellen
to startle;erschrecken (plötzlich)
to terrify;in Schrecken versetzen
to yearn;sich sehnen nach
to alleviate;lindern / abschwÃ¤chen
to ascertain;ermitteln / sicherstellen
to commence;anfangen / beginnen
to compel;zwingen / nötigen
to constrain;einschränken / zwingen
to deviate;abweichen
to differentiate;differenzieren
to disclose;enthüllen / bekanntgeben
to disperse;zerstreuen / verteilen
to exceed;überschreiten
to exemplify;veranschaulichen
to inhibit;hemmen / hindern
to initiate;initiieren / einleiten
to interact;interagieren
to intervene;einschreiten / intervenieren
to isolate;isolieren
to mitigate;mildern / entschÃ¤rfen
to quantify;quantifizieren / beziffern
